Orden,Clase de orden,Texto breve,Ce.emplazam.,Grupo planif.,Aviso,Cst.tot.reales,Status sistema,Fecha creación,Fecha fin real,Fecha ref.,Ubicac.técnica,Descripción,region,Dia_promedio,Grupo,asignacion_equipos
60000126,Correctivo,No encienden las luces de la campana.,C460,electromecanico,100000249.0,97176,Cerrado,2025-04-11,2025-05-09,28/04/2025,1000-C460-N01-COCINA,campana extractora,Antioquia,28,equipos de coccion,Extractor
60000132,Correctivo,Bomba suministro agua dañada,C270,electromecanico,100000189.0,12012768,Cerrado,2025-04-11,2025-04-30,30/04/2025,1000-C270-N00-CUAMAQ,bomba agua presión hidroflot,Zona Costera,19,Bomba,Bomba
60000134,Correctivo,requerim de calidad pintura medias cañas,C180,infraestructura,100000283.0,2097254,Cerrado,2025-04-12,2025-04-14,12/04/2025,1000-C180-N00-SAGEPV,,Antioquia,2,Grupo Infraestructura,
60000135,Correctivo,Reparación Santamaría,C160,infraestructura,100000233.0,23849292,Cerrado,2025-04-12,2025-04-30,04/05/2025,1000-C160-N00-ZINGPV,,Antioquia,18,Grupo Infraestructura,
60000136,Correctivo,Pintura de escalera tipo gato,C240,infraestructura,100000231.0,6266907,Cerrado,2025-04-12,2025-04-25,06/05/2025,1000-C240-N00-ESAN00,,Antioquia,13,Grupo Infraestructura,
60000141,Correctivo,mantenimiento general pv plaza de flores,C180,infraestructura,100000284.0,29532604,Cerrado,2025-04-12,2025-05-16,16/05/2025,1000-C180,,Antioquia,34,Grupo Infraestructura,
60000162,Correctivo,mantenimiento correctivo iluminacion,C330,electromecanico,100000341.0,0,Cerrado,2025-04-14,,15/04/2025,1000-C330-N00-820,,Centro,0,Red Electrica,
60000164,Correctivo,Cierre Parqueadero,C470,infraestructura,100000320.0,1221701,Cerrado,2025-04-14,2025-05-06,12/04/2025,1000-C470-N00-ZINGPV,,Antioquia,22,Grupo Infraestructura,
60000168,Correctivo,cambio de luces en pergola,C350,electromecanico,100000360.0,90160,Cerrado,2025-04-14,,30/04/2025,1000-C350-N00-820,,Centro,0,Red Electrica,
60000169,Correctivo,Cambio de cortinas cava refrigeración,C200,frigoristas,100000134.0,1448904,Cerrado,2025-04-14,2025-05-21,21/05/2025,1000-C200-N00-CAVREF,,Antioquia,37,Cavas,
60000170,Correctivo,Limpieza de aire acondicionado,C460,frigoristas,100000155.0,1030056,Cerrado,2025-04-14,2025-04-21,15/04/2025,1000-C460-N01-SAGEPV,aire acondicionado msplit - casette n°01,Antioquia,7,Aires Acondicionados,Aires Acondicionados
60000179,Correctivo,puerta baño porciparrilla hombres,C460,infraestructura,100000001.0,1030056,Cerrado,2025-04-15,2025-04-22,22/04/2025,1000-C460-N01-ZOBANO-001,,Antioquia,7,Grupo Infraestructura,
60000182,Correctivo,arreglo vitrinas para Envigado curva 90,C160,frigoristas,100000238.0,3350990,Cerrado,2025-04-15,,12/06/2025,1000-C160,vitrina refrigeracion curva,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000184,Correctivo,Reparacion de kit de arranque compresor,C180,frigoristas,100000403.0,409359,Cerrado,2025-04-15,2025-04-16,16/04/2025,1000-C180-N00-SAGEPV,vitrina refrigeracion n°03,Antioquia,1,Vitrinas,Vitrinas refrigeracion
60000200,Correctivo,Fabricacion carro reparacion Nevera Even,A400,frigoristas,100000174.0,1732877,Cerrado,2025-04-15,2025-05-02,25/04/2025,1000-A400-CAR-PARMTO-003,nevera vitrina refrigeracion eventos,Antioquia,17,Vitrinas,Vitrinas refrigeracion
60000201,Correctivo,Deterioro estructura escaleras,C310,infraestructura,100000250.0,386470,Cerrado,2025-04-15,,24/04/2025,1000-C310-N01-ZEMPLE,,Zona Costera,0,Grupo Infraestructura,
60000202,Correctivo,arreglo vitrinas para Envigado prest 200,C160,frigoristas,100000426.0,2600480,Cerrado,2025-04-15,,12/06/2025,1000-C160,vitrina refrigeracion 200,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000203,Correctivo,arreglo vitrinas para Envigado prest 200,C160,frigoristas,100000427.0,4097946,Cerrado,2025-04-15,,04/08/2025,1000-C160,vitrina refrigeracion 200,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000204,Correctivo,arreglo vitrinas para Envigado prest 250,C160,frigoristas,100000428.0,5141179,Cerrado,2025-04-15,,02/09/2025,1000-C160,vitrina refrigeracion 200,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000205,Correctivo,Arreglo vitrinas para Envigado cong 105,C160,frigoristas,100000429.0,7272517,Cerrado,2025-04-15,,02/09/2025,1000-C160,vitrina congelacion 105,Antioquia,0,Vitrinas,Vitrina congelacion
60000209,Correctivo,Cava refrigeracion deficiente,C190,frigoristas,100000422.0,343352,Cerrado,2025-04-15,2025-04-30,21/05/2025,1000-C190-N00-CAVREF,evaporador cava refrigeracion n°01,Antioquia,15,Cavas,Cava de refrigeracion
60000211,Correctivo,GOTERA SALA DE VENTAS,C120,infraestructura,100000394.0,1250939,Cerrado,2025-04-15,2025-05-05,09/06/2025,1000-C120-N00-PAINVI,,Antioquia,20,Grupo Infraestructura,
60000217,Correctivo,1inturas cortinas enrrollables,C240,infraestructura,100000481.0,1548751,Cerrado,2025-04-16,2025-05-06,16/05/2025,1000-C240-N00-ZINGPV,,Antioquia,20,Grupo Infraestructura,
60000235,Correctivo,Campana de parrilla,C200,electromecanico,100000482.0,343352,Cerrado,2025-04-21,2025-04-21,19/04/2025,1000-C200-N00-PORCPR,campana extractora,Antioquia,0,equipos de coccion,Extractor
60000236,Correctivo,daño en cava de congelacion,C210,frigoristas,100000530.0,215698,Cerrado,2025-04-21,2025-04-21,05/05/2025,1000-C210-N00-CAVCON,evaporador cava congelacion n°01,Antioquia,0,Cavas,Cava de congelacion
60000237,Correctivo,VITRINA MALA,C150,frigoristas,100000523.0,1373408,Cerrado,2025-04-21,2025-04-21,21/04/2025,1000-C150-N00-SAGEPV,vitrina congelacion n°03,Antioquia,0,Vitrinas,Vitrina congelacion
60000239,Correctivo,mantenimiento pv Sabaneta locativo,C120,infraestructura,100000558.0,11881860,Cerrado,2025-04-21,,21/04/2025,1000-C120,,Antioquia,0,Grupo Infraestructura,
60000241,Correctivo,Mantenimiento y lavado de vitrinas,C470,frigoristas,100000565.0,12398403,Cerrado,2025-04-21,2025-04-29,29/04/2025,1000-C470-N00-SAGEPV,vitrina refrigeracion n°01,Antioquia,8,Vitrinas,Vitrinas refrigeracion
60000242,Correctivo,Fabricacion de piezas para vitrinas,C160,frigoristas,100000568.0,2670030,Cerrado,2025-04-22,,27/06/2025,1000-C160-N00-SAGEPV,vitrina refrigeracion n°03,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000246,Correctivo,Temperatura alta en vitrinas,C200,frigoristas,100000508.0,1820827,Cerrado,2025-04-22,2025-04-22,06/05/2025,1000-C200-N00-SAGEPV,vitrina refrigeracion n°02,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000247,Correctivo,vitrina hechando humo,C170,frigoristas,100000517.0,1030056,Cerrado,2025-04-22,2025-04-22,22/04/2025,1000-C170-N00-SAGEPV,vitrina congelacion n°01,Antioquia,0,Vitrinas,Vitrina congelacion
60000251,Correctivo,Sierra desgaste motor,C300,electromecanico,100000578.0,2762782,Cerrado,2025-04-22,2025-04-29,29/04/2025,1000-C300-N00-SAPRPV,sierra sin fin,Zona Costera,7,Equipos de corte,Sierras sin fin
60000252,Correctivo,ARREGLO PUERTA DE ACCESO CLIENTES,C320,infraestructura,100000579.0,5516321,Cerrado,2025-04-22,2025-04-22,22/04/2025,1000-C320-N00-ZINGPV,puerta automatica n°01,Zona Costera,0,puertas automáticas,
60000271,Correctivo,canasta de freidora gancho partido,C280,electromecanico,100000388.0,30000,Cerrado,2025-04-23,,23/04/2025,1000-C280-N00-PORCPR-001,freidora electrica n°01,Zona Costera,0,equipos de coccion,Freidora electrica
60000274,Correctivo,suministro de cargador bateria,C260,electromecanico,100000620.0,850000,Cerrado,2025-04-23,,29/05/2025,1000-C260-N00-CUAMAQ,planta electrica,Zona Costera,0,Respaldo electrico,Planta electrica
60000278,Correctivo,Mantenimiento p.v. tulua,C380,infraestructura,100000613.0,21286521,Cerrado,2025-04-23,,18/05/2025,1000-C380,,Valle,0,Grupo Infraestructura,
60000279,Correctivo,fabricacion y maquinado plea sierra,C140,electromecanico,100000624.0,315000,Cerrado,2025-04-23,,23/04/2025,1000-C140-N00-SAPRPV,sierra sin fin,Antioquia,0,Equipos de corte,Sierras sin fin
60000281,Correctivo,maquinado Ejes y bujes sierra,C160,electromecanico,100000627.0,315000,Cerrado,2025-04-23,,23/04/2025,1000-C160-N00-SAPRPV,sierra sin fin,Antioquia,0,Equipos de corte,Sierras sin fin
60000285,Correctivo,cambio luces pergola,C400,electromecanico,100000633.0,843970,Cerrado,2025-04-23,2025-04-30,30/04/2025,1000-C400-N00-820,,Valle,7,Red Electrica,
60000289,Correctivo,freidora no enciende,C410,electromecanico,100000550.0,2513464,Cerrado,2025-04-23,2025-04-30,30/04/2025,1000-C410-N00-COCINA,freidora a gas n°02,Antioquia,7,equipos de coccion,Freidora a gas
60000297,Correctivo,Reparacion balanza etiquetadora,C100,metrologia,100000647.0,550992,Cerrado,2025-04-24,2025-05-05,05/05/2025,1000-C100-N00-SAPRPV,balanza etiquetadora,Antioquia,11,Otras Balanzas,Balanzas etiqueta
60000299,Correctivo,Bisagra y tapa de impresora malos,C140,metrologia,100000663.0,157748,Cerrado,2025-04-24,2025-05-16,16/05/2025,1000-C140-N00-SAGEPV-002,balanza colgante n°01,Antioquia,22,Balanza colgante,Balanza colgante
60000301,Correctivo,Empaque de ventanas para transport,C400,infraestructura,100000675.0,388048,Cerrado,2025-04-24,2025-04-24,24/04/2025,1000-C400,,Valle,0,Grupo Infraestructura,
60000302,Correctivo,Novedad con gato puerta p.v.,C310,infraestructura,100000673.0,5664556,Cerrado,2025-04-24,2025-04-25,25/04/2025,1000-C310-N00-ZINGPV,,Zona Costera,1,Grupo Infraestructura,
60000303,Correctivo,Cambio de baterias UPS,A290,electromecanico,100000653.0,1093000,Cerrado,2025-04-24,,07/10/2025,1000-A290-N04-CBOD01,ups,Antioquia,0,Respaldo electrico,
60000304,Correctivo,cava de refrigeracion,C100,frigoristas,100000602.0,4120224,Cerrado,2025-04-24,2025-04-30,30/04/2025,1000-C100-N00-CAVREF,controlador cava refrigeracion n°01,Antioquia,6,Cavas,Cava de refrigeracion
60000305,Correctivo,Restauracion de vitrinas Arneg,C160,frigoristas,100000678.0,301600,Cerrado,2025-04-24,,10/05/2025,1000-C160-N00-SAGEPV,vitrina refrigeracion n°01,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000306,Correctivo,Restauracion de vitrinas Arneg 02,C160,frigoristas,100000679.0,20000,Cerrado,2025-04-24,,10/05/2025,1000-C160-N00-SAGEPV,vitrina refrigeracion n°02,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000307,Correctivo,Restauracion de vitrinas Arneg 03,C160,frigoristas,100000681.0,110000,Cerrado,2025-04-24,,23/07/2025,1000-C160-N00-SAGEPV,vitrina refrigeracion n°03,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000308,Correctivo,Daño cierra cable,C350,electromecanico,100000650.0,331481,Cerrado,2025-04-24,2025-05-06,25/04/2025,1000-C350-N00-SAPRPV,sierra sin fin,Centro,12,Equipos de corte,Sierras sin fin
60000309,Correctivo,Bascula de proceso no enciende,C120,metrologia,100000219.0,750992,Cerrado,2025-04-24,2025-04-15,05/05/2025,1000-C120-N00-SAPRPV,balanza etiquetadora,Antioquia,-9,Otras Balanzas,Balanzas etiqueta
60000310,Correctivo,Muros p.v. copacabana,C200,infraestructura,100000688.0,1302350,Cerrado,2025-04-24,,09/06/2025,1000-C200,,Antioquia,0,Grupo Infraestructura,
60000312,Correctivo,Bascula de piso con diferencia de peso.,C400,metrologia,100000677.0,345992,Cerrado,2025-04-24,2025-05-05,05/05/2025,1000-C400-N00-PAINPV,bascula plataforma,Valle,11,Otras Balanzas,Balanza plataforma
60000315,Correctivo,Reparacion de cortinas enrrollable,C270,electromecanico,100000707.0,1090000,Cerrado,2025-04-25,,25/04/2025,1000-C270-N00-ZINGPV,puerta automatica n°01,Zona Costera,0,puertas automáticas,
60000316,Correctivo,Calibracion alcoholimetro GSPA,A400,metrologia,100000377.0,199000,Cerrado,2025-04-25,,25/04/2025,1000-A400-CAR-PARMTO-004-004,alcoholimetro,Antioquia,0,equipos de medicion,
60000317,Correctivo,Reviisar bomba de agua poso URGENTE,A400,electromecanico,100000674.0,1737525,Cerrado,2025-04-25,2025-04-30,03/05/2025,1000-A400-CAR-LAVADE-001,bomba lapicero n°01,Antioquia,5,Bomba,Bomba
60000323,Correctivo,Cambio de luces pasillo interno,C400,electromecanico,100000722.0,93496,Cerrado,2025-04-25,2025-04-28,28/04/2025,1000-C400-N00-820,,Valle,3,Red Electrica,
60000324,Correctivo,Cambio de luces salon general pv,C400,electromecanico,100000724.0,252489,Cerrado,2025-04-25,2025-05-05,05/05/2025,1000-C400-N00-820,,Valle,10,Red Electrica,
60000325,Correctivo,sierra dañada,C290,electromecanico,100000531.0,25210,Cerrado,2025-04-25,,09/06/2025,1000-C290-S01-SAPRPV,sierra sin fin,Zona Costera,0,Equipos de corte,Sierras sin fin
60000326,Correctivo,cambio de luces apartamento Edf Cali,A260,electromecanico,100000726.0,108496,Cerrado,2025-04-25,2025-05-06,06/05/2025,1000-A260-N00-820,,Valle,11,Red Electrica,
60000327,Correctivo,Cambio de lamparas y limpieza,C400,electromecanico,100000727.0,454985,Cerrado,2025-04-25,2025-05-05,05/05/2025,1000-C400-N00-820,,Valle,10,Red Electrica,
60000329,Correctivo,Cambio de luces salon empleados,C400,electromecanico,100000730.0,215992,Cerrado,2025-04-25,2025-05-05,05/05/2025,1000-C400-N00-820,,Valle,10,Red Electrica,
60000330,Correctivo,balanza colgante,C100,metrologia,100000545.0,3090168,Cerrado,2025-04-25,2025-04-26,26/04/2025,1000-C100-N00-SAGEPV-002,balanza colgante n°04,Antioquia,1,Balanza colgante,Balanza colgante
60000332,Correctivo,Estructura de cortina enrollable,C240,infraestructura,100000130.0,26397331,Cerrado,2025-04-25,2025-04-28,04/05/2025,1000-C240-N00-ZINGPV,,Antioquia,3,Grupo Infraestructura,
60000333,Correctivo,pozuelo del area de aseo con fuga de agu,C110,infraestructura,100000731.0,2763134,Cerrado,2025-04-25,2025-04-26,25/04/2025,1000-C110-N00-CUASEO,,Antioquia,1,Grupo Infraestructura,
60000339,Correctivo,Molino con fuga de aceite,C300,electromecanico,100000593.0,5539010,Cerrado,2025-04-26,,02/07/2025,1000-C300-N00-SAPRPV,molino,Zona Costera,0,Molino,Molino
60000340,Correctivo,sierra sin fin,C100,electromecanico,100000539.0,343352,Cerrado,2025-04-26,2025-04-22,26/04/2025,1000-C100-N00-SAPRPV,sierra sin fin,Antioquia,-4,Equipos de corte,Sierras sin fin
60000343,Correctivo,mantenimeinto freidoras,C330,electromecanico,100000641.0,4139090,Cerrado,2025-04-28,2025-04-30,30/04/2025,1000-C330-N00-PORCPR-001,freidora electrica n°01,Centro,2,equipos de coccion,Freidora electrica
60000355,Correctivo,REPARACION REJA PARRILLA,C310,infraestructura,100000741.0,462331,Cerrado,2025-04-28,2025-05-06,29/04/2025,1000-C310-N00-ZINGPV,,Zona Costera,8,Grupo Infraestructura,
60000357,Correctivo,Puerta procesos,C240,infraestructura,100000124.0,2746816,Cerrado,2025-04-29,2025-04-30,29/04/2025,1000-C240-N00-SAPRPV,,Antioquia,1,Grupo Infraestructura,
60000365,Correctivo,la  sierra no arranca,C290,electromecanico,100000747.0,25210,Cerrado,2025-04-29,2025-04-24,29/04/2025,1000-C290-S01-SAPRPV,sierra sin fin,Zona Costera,-5,Equipos de corte,Sierras sin fin
60000369,Correctivo,CAMBIO DE SWITCH EN LA PARRILLA,C310,electromecanico,100000775.0,282002,Cerrado,2025-04-29,2025-04-29,29/04/2025,1000-C310-N00-820,,Zona Costera,0,Red Electrica,
60000373,Correctivo,CAVA DE REFRIGERACION,C220,frigoristas,100000772.0,1030056,Cerrado,2025-04-29,2025-04-28,29/04/2025,1000-C220-N00-CAVREF,controlador cava refrigeracion n°01,Antioquia,-1,Cavas,Cava de refrigeracion
60000374,Correctivo,Vitrina Congelacion no funciona,C160,frigoristas,100000770.0,2403464,Cerrado,2025-04-29,2025-04-28,29/04/2025,1000-C160,vitrina congelacion 105,Antioquia,-1,Vitrinas,Vitrina congelacion
60000375,Correctivo,Compra de cuchilla y disco del molino,C260,electromecanico,100000768.0,0,Cerrado,2025-04-29,,27/06/2025,1000-C260-N00-SAPRPV,molino,Zona Costera,0,Molino,Molino
60000376,Correctivo,Puerta metalica principal,C200,infraestructura,100000210.0,16514509,Cerrado,2025-04-29,2025-04-30,03/05/2025,1000-C200-N00-SAGEPV,,Antioquia,1,Grupo Infraestructura,
60000378,Correctivo,ARREGLO LLAVE SALA DE PROCESOS,C400,infraestructura,100000669.0,168992,Cerrado,2025-04-29,2025-05-02,29/04/2025,1000-C400-N00,,Valle,3,Grupo Infraestructura,
60000379,Correctivo,camara parrilla sin visual,C320,electromecanico,100000149.0,10924,Cerrado,2025-04-30,,30/04/2025,1000-C320-N00-PORCPR-001,cam pv-sole_zona parrilla,Zona Costera,0,equipos de coccion,Equipos de cocción
60000381,Correctivo,Instalacion estructura horno,C580,infraestructura,100000205.0,301985,Cerrado,2025-04-30,2025-04-30,30/04/2025,1000-C580-N00-COCINA,,Antioquia,0,Grupo Infraestructura,
60000385,Correctivo,Archivadores oficina jefe contabilidad,A290,infraestructura,100000123.0,2060112,Cerrado,2025-04-30,2025-04-24,30/04/2025,1000-A290-N03-OFJCON,,Antioquia,-6,Grupo Infraestructura,
60000386,Correctivo,Tornillos oxidados,C240,infraestructura,100000127.0,1373408,Cerrado,2025-04-30,2025-04-30,30/04/2025,1000-C240-N00-SAGEPV,,Antioquia,0,Grupo Infraestructura,
60000387,Correctivo,Techo Con gotera,C240,infraestructura,100000822.0,686534,Cerrado,2025-04-30,2025-05-02,30/04/2025,1000-C240-N01-CUAMAQ,,Antioquia,2,Grupo Infraestructura,
60000389,Correctivo,Reparacion teclado de balanza,C140,metrologia,430000005.0,0,Cerrado,2025-04-30,,30/04/2025,1000-C140-N00-SAGEPV-002,balanza colgante n°02,Antioquia,0,Balanza colgante,Balanza colgante
60000391,Correctivo,vitrina refrigeracion sin frio,C190,frigoristas,100000811.0,1716760,Cerrado,2025-04-30,2025-04-30,02/05/2025,1000-C190-N00-SAGEPV,vitrina refrigeracion n°04,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000392,Correctivo,Daño aire acondicionado Monitoreo,A290,frigoristas,100000829.0,1373408,Cerrado,2025-04-30,2025-04-29,30/04/2025,1000-A290-N04-CMONIT,aire acondicionado msplit - casette n°01,Antioquia,-1,Aires Acondicionados,Aires Acondicionados
60000393,Correctivo,REVISION AIRE ACONDICIONADO PV BQUILLA,C310,frigoristas,100000830.0,300000,Cerrado,2025-04-30,,11/08/2025,1000-C310-N01-CUAMAQ,aire acondicionado central,Zona Costera,0,Aires Acondicionados,Aires Acondicionados
60000394,Correctivo,Manija baños,C240,infraestructura,100000199.0,2060112,Cerrado,2025-04-30,2025-04-30,30/04/2025,1000-C240-N00-ZOBANO-001,,Antioquia,0,Grupo Infraestructura,
60000404,Correctivo,Reparación cubierta de ventiladores,C190,frigoristas,100000185.0,264237,Cerrado,2025-05-02,2025-05-21,08/05/2025,1000-C190-N00-CAVCON,evaporador cava congelacion n°01,Antioquia,19,Cavas,Cava de congelacion
60000405,Correctivo,puerta de la cava esta caida,C170,frigoristas,100000854.0,754962,Cerrado,2025-05-02,2025-05-03,16/05/2025,1000-C170-S01-CAVREF,,Antioquia,1,Cavas,
60000406,Correctivo,latas vitrinas caidas,C100,frigoristas,100000590.0,37748,Cerrado,2025-05-02,2025-05-02,02/05/2025,1000-C100-N00-SAGEPV,vitrina refrigeracion n°02,Antioquia,0,Vitrinas,Vitrinas refrigeracion
60000409,Correctivo,daño en extractor parrilla,C390,electromecanico,100000865.0,415445,Cerrado,2025-05-02,2025-05-06,06/05/2025,1000-C390-N00-PORCPR-001,campana extractora,Valle,4,equipos de coccion,Extractor
60000413,Correctivo,reparacion cruz tecnica,C390,electromecanico,100000866.0,2555873,Cerrado,2025-05-02,2025-05-07,07/05/2025,1000-C390-N00-820,,Valle,5,Red Electrica,
60000415,Correctivo,cambio luz salon empleados,C390,electromecanico,100000867.0,969143,Cerrado,2025-05-02,2025-05-07,07/05/2025,1000-C390-N00-820,,Valle,5,Red Electrica,
60000416,Correctivo,Daño vitrina,C390,frigoristas,100000868.0,139472,Cerrado,2025-05-02,,22/09/2025,1000-C390-N00-SAGEPV,vitrina refrigeracion n°02,Valle,0,Vitrinas,Vitrinas refrigeracion
60000418,Correctivo,Arreglo de fachada superior,C250,infraestructura,100000804.0,11175256,Cerrado,2025-05-02,2025-05-11,11/05/2025,1000-C250-N00-ZFACHA,,Zona Costera,9,Grupo Infraestructura,
60000420,Correctivo,Molino botó una pieza,C160,electromecanico,100000860.0,819772,Cerrado,2025-05-02,2025-05-06,16/05/2025,1000-C160-N00-SAPRPV,molino,Antioquia,4,Molino,Molino
60000421,Correctivo,Arreglo puerta de vidrio PDV,C250,infraestructura,100000783.0,301985,Cerrado,2025-05-02,2025-05-02,02/05/2025,1000-C250-N00-ZFACHA,,Zona Costera,0,Grupo Infraestructura,
60000422,Correctivo,Arrreglo puerta de parrilla vidrio,C250,infraestructura,100000782.0,452977,Cerrado,2025-05-02,2025-05-02,02/05/2025,1000-C250-N00-ZFACHA,,Zona Costera,0,Grupo Infraestructura,
60000426,Correctivo,Luces vitrina dañada,C100,frigoristas,100000892.0,59496,Cerrado,2025-05-03,,06/06/2025,1000-C100-N00-SAGEPV,vitrina congelacion n°01,Antioquia,0,Vitrinas,Vitrina congelacion
60000447,Correctivo,daño en cava de congelacion,C210,frigoristas,100000907.0,150992,Cerrado,2025-05-05,2025-05-03,05/05/2025,1000-C210-N00-CAVCON,evaporador cava congelacion n°01,Antioquia,-2,Cavas,Cava de congelacion
60000448,Correctivo,lampara de la cava de congelacion mala,C170,frigoristas,100000905.0,298992,Cerrado,2025-05-05,2025-05-21,05/05/2025,1000-C170-S01-CAVCON,,Antioquia,16,Cavas,
60000455,Correctivo,Nevera no enfria,C300,frigoristas,100000873.0,100000,Cerrado,2025-05-05,,22/09/2025,1000-C300-N00-SAGEPV,vitrina refrigeracion n°03,Zona Costera,0,Vitrinas,Vitrinas refrigeracion
60000456,Correctivo,arreglo de cava refrigeracion,C370,frigoristas,100000883.0,600000,Cerrado,2025-05-05,,05/05/2025,1000-C370-N00-CAVREF,controlador cava refrigeracion n°01,Valle,0,Cavas,Cava de refrigeracion
60000457,Correctivo,Revision de silla de puesto de trabajo,A290,infraestructura,100000154.0,75496,Cerrado,2025-05-05,2025-04-01,05/05/2025,1000-A290-N03-OFGEFI,,Antioquia,-34,Grupo Infraestructura,
60000459,Correctivo,etiquetadora,C100,metrologia,100000540.0,1301985,Cerrado,2025-05-05,2025-04-21,21/04/2025,1000-C100-N00-SAPRPV,balanza etiquetadora,Antioquia,-14,Otras Balanzas,Balanzas etiqueta
60000460,Correctivo,SOLICITUD REMACHES BRAZO BASCULA,C120,metrologia,100000594.0,75496,Cerrado,2025-05-05,2025-04-21,05/05/2025,1000-C120-N00-SAGEPV-002,balanza colgante n°05,Antioquia,-14,Balanza colgante,Balanza colgante
60000461,Correctivo,desarme de vitrinas,C200,frigoristas,100000935.0,1537709,Cerrado,2025-05-05,2025-05-21,06/05/2025,1000-C200-N00-SAGEPV,vitrina refrigeracion n°01,Antioquia,16,Vitrinas,Vitrinas refrigeracion
60000462,Correctivo,ARREGLO DE MOLINO,C400,electromecanico,100000919.0,2707146,Cerrado,2025-05-05,2025-05-06,02/07/2025,1000-C400-N00-SAPRPV,molino,Valle,1,Molino,Molino
60000465,Correctivo,reparacion luces de oficina,C110,electromecanico,100000931.0,250489,Cerrado,2025-05-05,2025-05-30,30/05/2025,1000-C110-N00-820,,Antioquia,25,Red Electrica,
