Material,Centro,Motivo movimiento,Clase de movimiento,Fecha contabiliz.,Impte.mon.local,Orden,Pedido,Almacén,Texto breve material,Cantidad en UM ped.,Cantidad,Grupo planif.,Clase de pedido
17000182,P100,0,Salida Material orden,14/05/2025,13086,60000204,,P124,"Arandela plana inox 5/16""",0,100.0,Frigoristas,Material
17000191,P100,0,Salida Material orden,12/06/2025,303,70000264,,P124,"Arandela presion inox ¼""",0,4.0,Frigoristas,Material
17000192,P100,0,Salida Material orden,05/09/2025,1452,70002087,,P124,"Arandela presion inox ⅜""",0,8.0,Metrologia,Material
17000192,P100,0,Salida Material orden,28/08/2025,1452,70001479,,P124,"Arandela presion inox ⅜""",0,8.0,Metrologia,Material
17000192,P100,0,Salida Material orden,26/08/2025,1816,60002888,,P124,"Arandela presion inox ⅜""",0,10.0,Metrologia,Material
17000192,P100,0,Salida Material orden,23/08/2025,1089,60002846,,P124,"Arandela presion inox ⅜""",0,6.0,Infraestructura,Material
17000224,P100,0,Salida Material orden,09/10/2025,7003,60003901,,P124,Base fotocelda soporte,0,1.0,Electromecanico,Material
17000224,P100,0,Salida Material orden,06/10/2025,7003,60003901,,P124,Base fotocelda soporte,0,1.0,Electromecanico,Material
17000226,P100,0,Salida Material orden,14/05/2025,77915,60000204,,P124,Base vcp tlk 1469 11pin,0,4.0,Frigoristas,Material
17000231,P100,0,Salida Material orden,02/07/2025,5000,70000445,,P124,"Bisagra en capsula inox de ⅜""",0,1.0,Infraestructura,Material
17000234,P100,0,Salida Material orden,29/09/2025,29864,60003334,,P124,Bisagra nudo inox de 3 x 3,0,2.0,Infraestructura,Material
17000250,P100,0,Salida Material orden,03/06/2025,31911,60000966,,P124,Bloque contacto boton control 1NA ZBE101,0,1.0,Frigoristas,Material
17000302,P100,0,Salida Material orden,02/08/2025,12493,60000205,,P124,Bornera riel din 20-8AWG,0,4.0,Frigoristas,Material
17000304,P100,0,Salida Material orden,11/06/2025,50576,70000605,,P124,Pulsador metalico verde XA2EA31,0,1.0,Electromecanico,Material
17000304,P100,0,Salida Material orden,11/06/2025,50576,70000577,,P124,Pulsador metalico verde XA2EA31,0,1.0,Electromecanico,Material
17000304,P100,0,Salida Material orden,11/06/2025,50576,70000523,,P124,Pulsador metalico verde XA2EA31,0,1.0,Electromecanico,Material
17000304,P100,0,Salida Material orden,11/06/2025,50576,70000613,,P124,Pulsador metalico verde XA2EA31,0,1.0,Electromecanico,Material
17000304,P100,0,Salida Material orden,11/06/2025,50576,70000495,,P124,Pulsador metalico verde XA2EA31,0,1.0,Electromecanico,Material
17000305,P100,0,Salida Material orden,11/06/2025,50291,70000605,,P124,Pulsador metalico rojo XB4BA42,0,1.0,Electromecanico,Material
17000305,P100,0,Salida Material orden,11/06/2025,50291,70000577,,P124,Pulsador metalico rojo XB4BA42,0,1.0,Electromecanico,Material
17000305,P100,0,Salida Material orden,11/06/2025,50291,70000523,,P124,Pulsador metalico rojo XB4BA42,0,1.0,Electromecanico,Material
17000305,P100,0,Salida Material orden,11/06/2025,50291,70000613,,P124,Pulsador metalico rojo XB4BA42,0,1.0,Electromecanico,Material
17000305,P100,0,Salida Material orden,11/06/2025,50291,70000495,,P124,Pulsador metalico rojo XB4BA42,0,1.0,Electromecanico,Material
17000328,P100,0,Salida Material orden,12/06/2025,13183,60000203,,P124,Breaker enchufable 1x20A,0,1.0,Frigoristas,Material
17000331,P100,0,Salida Material orden,12/06/2025,41942,60000203,,P124,Breaker enchufable 2x20A,0,1.0,Frigoristas,Material
17000332,P100,0,Salida Material orden,02/08/2025,99118,60000204,,P124,Breaker enchufable 2x30A,0,2.0,Frigoristas,Material
17000332,P100,0,Salida Material orden,12/06/2025,48981,60000203,,P124,Breaker enchufable 2x30A,0,1.0,Frigoristas,Material
17000339,P100,0,Salida Material orden,10/10/2025,55925,60003986,,P124,Breaker riel din easy 9 2x20A,0,1.0,Electromecanico,Material
17000339,P100,0,Salida Material orden,31/07/2025,47765,60000205,,P124,Breaker riel din easy 9 2x20A,0,1.0,Frigoristas,Material
17000351,P100,0,Salida Material orden,20/10/2025,6116,70002018,,P124,"Broca metal hss ⅛""",0,2.0,Electromecanico,Material
17000351,P100,0,Salida Material orden,09/10/2025,6116,70002713,,P124,"Broca metal hss ⅛""",0,2.0,Frigoristas,Material
17000351,P100,0,Salida Material orden,01/10/2025,6116,70002117,,P124,"Broca metal hss ⅛""",0,2.0,Electromecanico,Material
17000351,P100,0,Salida Material orden,12/08/2025,3049,70001720,,P124,"Broca metal hss ⅛""",0,1.0,Frigoristas,Material
17000351,P100,0,Salida Material orden,12/06/2025,2921,70000264,,P124,"Broca metal hss ⅛""",0,1.0,Frigoristas,Material
17000352,P100,0,Salida Material orden,30/09/2025,7319,60002636,,P124,"Broca metal hss ¼""",0,1.0,Infraestructura,Material
17000352,P100,0,Salida Material orden,18/06/2025,7249,70000438,,P124,"Broca metal hss ¼""",0,1.0,Infraestructura,Material
17000352,P100,0,Salida Material orden,05/06/2025,7249,60000205,,P124,"Broca metal hss ¼""",0,1.0,Frigoristas,Material
17000352,P100,0,Salida Material orden,25/04/2025,28869,60000332,,P124,"Broca metal hss ¼""",0,4.0,Infraestructura,Material
17000354,P100,0,Salida Material orden,17/10/2025,29920,60002932,,P124,"Broca metal hss ½""",0,1.0,Frigoristas,Material
17000372,P100,0,Salida Material orden,15/10/2025,3610,60003683,,P124,"Broca metal hss 3/16""",0,1.0,Infraestructura,Material
17000372,P100,0,Salida Material orden,12/08/2025,3610,70001720,,P124,"Broca metal hss 3/16""",0,1.0,Frigoristas,Material
17000372,P100,0,Salida Material orden,08/08/2025,3610,60000672,,P124,"Broca metal hss 3/16""",0,1.0,Infraestructura,Material
17000374,P100,0,Salida Material orden,16/05/2025,9168,60000679,,P124,"Broca metal hss 5/16""",0,1.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,09/10/2025,6035,70002713,,P124,"Broca metal hss 5/32""",0,2.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,27/08/2025,3154,60002893,,P124,"Broca metal hss 5/32""",0,1.0,Electromecanico,Material
17000375,P100,0,Salida Material orden,15/08/2025,3154,60002706,,P124,"Broca metal hss 5/32""",0,1.0,Electromecanico,Material
17000375,P100,0,Salida Material orden,12/08/2025,3154,70001720,,P124,"Broca metal hss 5/32""",0,1.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,21/07/2025,6307,60002089,,P124,"Broca metal hss 5/32""",0,2.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,03/06/2025,3620,60000966,,P124,"Broca metal hss 5/32""",0,1.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,16/05/2025,3620,60000679,,P124,"Broca metal hss 5/32""",0,1.0,Frigoristas,Material
17000375,P100,0,Salida Material orden,12/04/2025,5376,60000141,,P124,"Broca metal hss 5/32""",0,2.0,Infraestructura,Material
17000384,P100,0,Salida Material orden,30/09/2025,4020,60002636,,P124,"Broca muro ¼""",0,1.0,Infraestructura,Material
17000384,P100,0,Salida Material orden,29/08/2025,4020,60002940,,P124,"Broca muro ¼""",0,1.0,Infraestructura,Material
17000384,P100,0,Salida Material orden,11/06/2025,4293,70000439,,P124,"Broca muro ¼""",0,1.0,Infraestructura,Material
17000405,P100,0,Salida Material orden,18/06/2025,10180,70000445,,P124,"Brocha 1 ½""",0,2.0,Infraestructura,Material
17000405,P100,0,Salida Material orden,22/04/2025,14376,60000239,,P124,"Brocha 1 ½""",0,3.0,Infraestructura,Material
17000406,P100,0,Salida Material orden,05/05/2025,7017,60000461,,P124,"Brocha 2 ½""",0,1.0,Frigoristas,Material
17000406,P100,0,Salida Material orden,24/04/2025,35085,60000278,,P124,"Brocha 2 ½""",0,5.0,Infraestructura,Material
17000410,P100,0,Salida Material orden,10/07/2025,28082,70000990,,P124,"Brocha de 4""",0,2.0,Infraestructura,Material
17000410,P100,0,Salida Material orden,18/06/2025,27696,70000597,,P124,"Brocha de 4""",0,2.0,Frigoristas,Material
17000410,P100,0,Salida Material orden,18/06/2025,55391,70000633,,P124,"Brocha de 4""",0,4.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,09/10/2025,20573,70002916,,P124,"Brocha goya profesional de 2""",0,3.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,09/10/2025,13715,60003898,,P124,"Brocha goya profesional de 2""",0,2.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,09/10/2025,13715,70002713,,P124,"Brocha goya profesional de 2""",0,2.0,Frigoristas,Material
17000412,P100,0,Salida Material orden,12/09/2025,6858,70002037,,P124,"Brocha goya profesional de 2""",0,1.0,Frigoristas,Material
17000412,P100,0,Salida Material orden,08/09/2025,6858,70002469,,P124,"Brocha goya profesional de 2""",0,1.0,Frigoristas,Material
17000412,P100,0,Salida Material orden,06/08/2025,6858,60002434,,P124,"Brocha goya profesional de 2""",0,1.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,21/07/2025,13715,70001089,,P124,"Brocha goya profesional de 2""",0,2.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,10/07/2025,6858,60000203,,P124,"Brocha goya profesional de 2""",0,1.0,Frigoristas,Material
17000412,P100,0,Salida Material orden,08/07/2025,6623,70000990,,P124,"Brocha goya profesional de 2""",0,1.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,18/06/2025,12173,70000633,,P124,"Brocha goya profesional de 2""",0,2.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,18/06/2025,24347,70000445,,P124,"Brocha goya profesional de 2""",0,4.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,09/06/2025,24590,70000439,,P124,"Brocha goya profesional de 2""",0,4.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,19/05/2025,12295,60000492,,P124,"Brocha goya profesional de 2""",0,2.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,15/05/2025,26858,60000671,,P124,"Brocha goya profesional de 2""",0,5.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,15/05/2025,10743,60000679,,P124,"Brocha goya profesional de 2""",0,2.0,Frigoristas,Material
17000412,P100,0,Salida Material orden,15/05/2025,32229,60000668,,P124,"Brocha goya profesional de 2""",0,6.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,06/05/2025,26858,60000492,,P124,"Brocha goya profesional de 2""",0,5.0,Infraestructura,Material
17000412,P100,0,Salida Material orden,12/04/2025,10743,60000135,,P124,"Brocha goya profesional de 2""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,16/10/2025,20840,70002916,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,09/10/2025,20840,60003927,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,09/10/2025,20840,60003982,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,09/10/2025,20840,70002916,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,12/09/2025,10420,70002037,,P124,"Brocha goya profesional de 3""",0,1.0,Frigoristas,Material
17000413,P100,0,Salida Material orden,26/08/2025,31260,60002891,,P124,"Brocha goya profesional de 3""",0,3.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,08/07/2025,31260,70000990,,P124,"Brocha goya profesional de 3""",0,3.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,26/06/2025,10420,60001396,,P124,"Brocha goya profesional de 3""",0,1.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,18/06/2025,10420,70000445,,P124,"Brocha goya profesional de 3""",0,1.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,18/06/2025,10420,70000445,,P124,"Brocha goya profesional de 3""",0,1.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,18/06/2025,20840,70000445,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,18/06/2025,10420,70000445,,P124,"Brocha goya profesional de 3""",0,1.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,09/06/2025,41680,70000439,,P124,"Brocha goya profesional de 3""",0,4.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,09/06/2025,20840,70000439,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,19/05/2025,31260,60000492,,P124,"Brocha goya profesional de 3""",0,3.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,15/05/2025,41680,60000671,,P124,"Brocha goya profesional de 3""",0,4.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,15/05/2025,41680,60000668,,P124,"Brocha goya profesional de 3""",0,4.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,22/04/2025,20840,60000141,,P124,"Brocha goya profesional de 3""",0,2.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,22/04/2025,41680,60000239,,P124,"Brocha goya profesional de 3""",0,4.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,12/04/2025,41680,60000136,,P124,"Brocha goya profesional de 3""",0,4.0,Infraestructura,Material
17000413,P100,0,Salida Material orden,12/04/2025,31260,60000134,,P124,"Brocha goya profesional de 3""",0,3.0,Infraestructura,Material
17000414,P100,0,Salida Material orden,28/08/2025,344535,60002891,,P124,Bronco elastico impermeablizante x gal,0,5.0,Infraestructura,Material
17000415,P100,0,Salida Material orden,26/08/2025,648996,60002891,,P124,Bronco elastico x 20L,0,2.0,Infraestructura,Material
17000415,P100,0,Salida Material orden,10/07/2025,973493,70000990,,P124,Bronco elastico x 20L,0,3.0,Infraestructura,Material
17000415,P100,0,Salida Material orden,15/05/2025,711912,60000671,,P124,Bronco elastico x 20L,0,2.0,Infraestructura,Material
17000429,P100,0,Salida Material orden,27/05/2025,12766,60000202,,P124,Cable encauchetado 2 x 18,0,6.0,Frigoristas,Material
17000430,P100,0,Salida Material orden,10/10/2025,86280,60003986,,P124,Cable encauchetado 3 x 12,0,10.0,Electromecanico,Material
17000430,P100,0,Salida Material orden,24/09/2025,34512,70002264,,P124,Cable encauchetado 3 x 12,0,4.0,Electromecanico,Material
17000430,P100,0,Salida Material orden,21/05/2025,26520,60000790,,P124,Cable encauchetado 3 x 12,0,3.0,Electromecanico,Material
17000430,P100,0,Salida Material orden,14/05/2025,88400,60000202,,P124,Cable encauchetado 3 x 12,0,10.0,Frigoristas,Material
17000433,P100,0,Salida Material orden,25/06/2025,12437,60001514,,P124,Cable encauchetado 3 x 18,0,4.0,Frigoristas,Material
17000434,P100,0,Salida Material orden,02/08/2025,74325,60000204,,P124,Cable encauchetado 3x10,0,5.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,25/06/2025,4316,60001514,,P124,Cable thhn/ thwn 16 blanco,0,4.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,14/05/2025,10790,60000205,,P124,Cable thhn/ thwn 16 blanco,0,10.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,14/05/2025,10789,60000204,,P124,Cable thhn/ thwn 16 blanco,0,10.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,14/05/2025,10790,60000203,,P124,Cable thhn/ thwn 16 blanco,0,10.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,14/05/2025,10789,60000202,,P124,Cable thhn/ thwn 16 blanco,0,10.0,Frigoristas,Material
17000452,P100,0,Salida Material orden,25/04/2025,11000,60000182,,P124,Cable thhn/ thwn 16 blanco,0,10.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,31/07/2025,35932,60000205,,P124,Cable thhn/ thwn 18 negro,0,50.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,25/06/2025,2875,60001514,,P124,Cable thhn/ thwn 18 negro,0,4.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,14/05/2025,7187,60000205,,P124,Cable thhn/ thwn 18 negro,0,10.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,14/05/2025,7186,60000204,,P124,Cable thhn/ thwn 18 negro,0,10.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,14/05/2025,7187,60000203,,P124,Cable thhn/ thwn 18 negro,0,10.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,14/05/2025,7186,60000202,,P124,Cable thhn/ thwn 18 negro,0,10.0,Frigoristas,Material
17000453,P100,0,Salida Material orden,25/04/2025,7310,60000182,,P124,Cable thhn/ thwn 18 negro,0,10.0,Frigoristas,Material
17000476,P100,0,Salida Material orden,01/09/2025,611,60003016,,P124,"Caja cuadrada conduit pvc de 4"" x 4""",0,1.0,Electromecanico,Material
17000488,P100,0,Salida Material orden,12/09/2025,7613,70002037,,P124,Caja DXN500DG 10cm x 10cm x 5cm,0,3.0,Frigoristas,Material
17000488,P100,0,Salida Material orden,18/06/2025,7613,70000451,,P124,Caja DXN500DG 10cm x 10cm x 5cm,0,3.0,Electromecanico,Material
17000488,P100,0,Salida Material orden,12/06/2025,20302,60000204,,P124,Caja DXN500DG 10cm x 10cm x 5cm,0,8.0,Frigoristas,Material
17000510,P100,0,Salida Material orden,14/05/2025,27584,60000202,,P124,Canaleta ranurada gris 40mm x 40mm,0,1.0,Frigoristas,Material
17000510,P100,0,Salida Material orden,25/04/2025,27584,60000182,,P124,Canaleta ranurada gris 40mm x 40mm,0,1.0,Frigoristas,Material
17000521,P100,0,Salida Material orden,09/10/2025,30978,60003962,,P124,"Canilla cobre ½""",0,1.0,Infraestructura,Material
17000521,P100,0,Salida Material orden,29/09/2025,30978,60003681,,P124,"Canilla cobre ½""",0,1.0,Infraestructura,Material
17000521,P100,0,Salida Material orden,03/09/2025,30978,60002815,,P124,"Canilla cobre ½""",0,1.0,Infraestructura,Material
17000523,P100,0,Salida Material orden,21/08/2025,30978,60002815,,P124,Canillas de bronce,0,1.0,Infraestructura,Material
17000531,P100,0,Salida Material orden,11/06/2025,31313,70000613,,P124,Capacitor arranque 340MF a 408MF 220V,0,1.0,Electromecanico,Material
17000535,P100,0,Salida Material orden,19/09/2025,22612,60003536,,P124,Capacitor marcha 100MF 370V,0,1.0,Frigoristas,Material
17000536,P100,0,Salida Material orden,24/06/2025,25000,70000273,,P124,Capacitor marcha 15MF 370V,0,2.0,Frigoristas,Material
17000536,P100,0,Salida Material orden,12/06/2025,25000,70000263,,P124,Capacitor marcha 15MF 370V,0,2.0,Frigoristas,Material
17000537,P100,0,Salida Material orden,03/09/2025,17337,60003086,,P124,Capacitor marcha 50MF 220V,0,1.0,Frigoristas,Material
17000538,P100,0,Salida Material orden,24/06/2025,20494,70000282,,P124,Capacitor marcha 60MF 370V,0,1.0,Frigoristas,Material
17000540,P100,0,Salida Material orden,12/06/2025,21260,70000259,,P124,Capacitor marcha 25MF 220V,0,1.0,Frigoristas,Material
17000543,P100,0,Salida Material orden,17/09/2025,9166,70001883,,P124,Capacitor marcha 40MF 250V,0,1.0,Frigoristas,Material
17000561,P100,0,Salida Material orden,10/10/2025,195583,70002671,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,08/09/2025,190750,60003195,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,05/09/2025,190750,70002087,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,26/08/2025,190750,60002888,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,22/08/2025,190750,70002237,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,01/07/2025,190750,70000887,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000561,P100,0,Salida Material orden,11/06/2025,190750,70000535,,P124,Celda de carga spm 500kg vector,0,1.0,Metrologia,Material
17000571,P100,0,Salida Material orden,12/09/2025,10070,70002037,,P124,Cepillos de alambre inox,0,1.0,Frigoristas,Material
17000590,P100,0,Salida Material orden,20/10/2025,9399,60002932,,P124,"Chazo expansivo inox ⅜"" x 1 ⅞""",0,4.0,Frigoristas,Material
17000590,P100,0,Salida Material orden,23/08/2025,9399,60002846,,P124,"Chazo expansivo inox ⅜"" x 1 ⅞""",0,4.0,Infraestructura,Material
17000595,P100,0,Salida Material orden,04/06/2025,2350,60001017,,P124,"Chazo expansivo mariposa galv ¼""",0,6.0,Frigoristas,Material
17000602,P100,0,Salida Material orden,02/08/2025,5910,60000204,,P124,"Chazo expansivo mariposa plastico¼""x1""",0,30.0,Frigoristas,Material
17000602,P100,0,Salida Material orden,11/06/2025,5500,70000439,,P124,"Chazo expansivo mariposa plastico¼""x1""",0,25.0,Infraestructura,Material
17000603,P100,0,Salida Material orden,30/09/2025,500,60002636,,P124,"Chazo expansivo plastico ¼"" x 1 ¼""",0,10.0,Infraestructura,Material
17000604,P100,0,Salida Material orden,29/09/2025,336,60003742,,P124,"Chazo expansivo plastico ⅜"" x 1""",0,8.0,Infraestructura,Material
17000604,P100,0,Salida Material orden,29/09/2025,336,60003740,,P124,"Chazo expansivo plastico ⅜"" x 1""",0,8.0,Infraestructura,Material
17000605,P100,0,Salida Material orden,29/08/2025,1436,60002940,,P124,"Chazo expansivo plastico 5/16"" x 1 ½""",0,10.0,Infraestructura,Material
17000612,P100,0,Salida Material orden,20/10/2025,4082,70002017,,P124,Cinta aislante negro 18m,0,1.0,Electromecanico,Material
17000612,P100,0,Salida Material orden,09/10/2025,4082,70002715,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,16/09/2025,5226,70002129,,P124,Cinta aislante negro 18m,0,1.0,Electromecanico,Material
17000612,P100,0,Salida Material orden,12/09/2025,5226,70002037,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,05/09/2025,10453,60003163,,P124,Cinta aislante negro 18m,0,2.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,02/08/2025,4876,60000204,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,11/06/2025,4257,70000261,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,27/05/2025,4257,60000202,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000612,P100,0,Salida Material orden,08/05/2025,3296,60000531,,P124,Cinta aislante negro 18m,0,1.0,Frigoristas,Material
17000613,P100,0,Salida Material orden,08/10/2025,22017,70002600,,P124,Cinta aislante super 33+,0,1.0,Electromecanico,Material
17000613,P100,0,Salida Material orden,25/04/2025,28247,60000317,,P124,Cinta aislante super 33+,0,1.0,Electromecanico,Material
17000613,P100,0,Salida Material orden,16/04/2025,28247,60000184,,P124,Cinta aislante super 33+,0,1.0,Frigoristas,Material
17000614,P100,0,Salida Material orden,25/04/2025,55796,60000317,,P124,Cinta autofundente 23,0,1.0,Electromecanico,Material
17000616,P100,0,Salida Material orden,06/08/2025,30663,60000205,,P124,Cinta C-386 gris 40yd x 48mm,0,1.0,Frigoristas,Material
17000618,P100,0,Salida Material orden,17/07/2025,11448,70001089,,P124,"Cinta enmascarar ¾""",0,3.0,Infraestructura,Material
17000618,P100,0,Salida Material orden,18/06/2025,12270,70000445,,P124,"Cinta enmascarar ¾""",0,4.0,Infraestructura,Material
17000618,P100,0,Salida Material orden,09/06/2025,6135,70000439,,P124,"Cinta enmascarar ¾""",0,2.0,Infraestructura,Material
17000618,P100,0,Salida Material orden,26/05/2025,7600,60000875,,P124,"Cinta enmascarar ¾""",0,2.0,Infraestructura,Material
17000619,P100,0,Salida Material orden,09/10/2025,4528,60003898,,P124,"Cinta enmascarar 1""",0,1.0,Infraestructura,Material
17000619,P100,0,Salida Material orden,23/07/2025,9023,4000041,,P124,"Cinta enmascarar 1""",0,2.0,Infraestructura,Material
17000631,P100,0,Salida Material orden,01/09/2025,1326,60003016,,P124,Clavija caucho p/tierra 15A 150V,0,2.0,Electromecanico,Material
17000664,P100,0,Salida Material orden,01/09/2025,1445,60002815,,P124,"Codo 45° presion pvc ½""",0,2.0,Infraestructura,Material
17000668,P100,0,Salida Material orden,25/09/2025,1000,60003656,,P124,"Codo 45° presion pvc 1""",0,2.0,Frigoristas,Material
